index,frame,x,y,z,qx,qy,qz,qw
46,map,-0.49610565522470584,-0.652912297888284,0.0,0.0,0.0,0.0,1.0
45,map,-0.5013963543086704,-0.6284783985984093,0.0,0.0,0.0,0.0,1.0
44,map,-0.48764103260101455,-0.6076028489709331,0.0,0.0,0.0,0.0,1.0
43,map,-0.47883737875278887,-0.5842042585343763,0.0,0.0,0.0,0.0,1.0
42,map,-0.474924643709133,-0.5595122949706366,0.0,0.0,0.0,0.0,1.0
41,map,-0.473538382702148,-0.5345508230410645,0.0,0.0,0.0,0.0,1.0
40,map,-0.47233293834824797,-0.5095798143681862,0.0,0.0,0.0,0.0,1.0
39,map,-0.4707751113291849,-0.48462845138651867,0.0,0.0,0.0,0.0,1.0
38,map,-0.468347437953166,-0.45974651589612003,0.0,0.0,0.0,0.0,1.0
37,map,-0.46535681061978384,-0.43492599703261314,0.0,0.0,0.0,0.0,1.0
36,map,-0.4565311268945209,-0.4115357989301658,0.0,0.0,0.0,0.0,1.0
35,map,-0.4420178248288906,-0.3911798110780098,0.0,0.0,0.0,0.0,1.0
34,map,-0.4278281044636387,-0.3705970394700331,0.0,0.0,0.0,0.0,1.0
33,map,-0.422251207713056,-0.3462270363603097,0.0,0.0,0.0,0.0,1.0
32,map,-0.42220924604250887,-0.3212270359877807,0.0,0.0,0.0,0.0,1.0
31,map,-0.4159405539324965,-0.2970256424997104,0.0,0.0,0.0,0.0,1.0
30,map,-0.41057079524652385,-0.27260910008265293,0.0,0.0,0.0,0.0,1.0
29,map,-0.3928541011043507,-0.25497051186815733,0.0,0.0,0.0,0.0,1.0
28,map,-0.37339294587661276,-0.23927780075785288,0.0,0.0,0.0,0.0,1.0
27,map,-0.36123417036584304,-0.21743369948020197,0.0,0.0,0.0,0.0,1.0
26,map,-0.3522826969963717,-0.1940913758291516,0.0,0.0,0.0,0.0,1.0
25,map,-0.3420394717460795,-0.17128616156110477,0.0,0.0,0.0,0.0,1.0
24,map,-0.3286782082718347,-0.15015617162221995,0.0,0.0,0.0,0.0,1.0
23,map,-0.3137138182478225,-0.130129392148993,0.0,0.0,0.0,0.0,1.0
22,map,-0.29197891268102727,-0.11777644854450964,0.0,0.0,0.0,0.0,1.0
21,map,-0.2674067306132131,-0.11317134593682576,0.0,0.0,0.0,0.0,1.0
20,map,-0.24242198902997392,-0.11229854318944499,0.0,0.0,0.0,0.0,1.0
19,map,-0.2174219886574449,-0.11227699014957304,0.0,0.0,0.0,0.0,1.0
18,map,-0.1924231326941126,-0.11251903269468366,0.0,0.0,0.0,0.0,1.0
17,map,-0.16742570724227623,-0.1128793308567908,0.0,0.0,0.0,0.0,1.0
16,map,-0.1424306659762664,-0.11337829326656967,0.0,0.0,0.0,0.0,1.0
15,map,-0.11744535218842889,-0.11423373914113322,0.0,0.0,0.0,0.0,1.0
14,map,-0.09250390741979975,-0.11594405868566193,0.0,0.0,0.0,0.0,1.0
13,map,-0.06770284351263745,-0.11909118397669838,0.0,0.0,0.0,0.0,1.0
