i,x,y,yaw
52,-0.4792981815233559,-0.6623493318609799,0.0
53,-0.49802853611154196,-0.6457912566630735,0.0
54,-0.5097194389957109,-0.6236930965437462,0.0
55,-0.5233815867212654,-0.6027565117591105,0.0
56,-0.5299358089258646,-0.5786308400128912,0.0
57,-0.5370265683088689,-0.5546575654247046,0.0
58,-0.5415214261639334,-0.5300649747262152,0.0
59,-0.5460124693216755,-0.5054716210882613,0.0
60,-0.5501994811028168,-0.4808246709529267,0.0
61,-0.5544597350725495,-0.45619030931875626,0.0
62,-0.5585393631240634,-0.4315254301060061,0.0
63,-0.5627349579741803,-0.4068801965844666,0.0
64,-0.5668325151031097,-0.3822181783947083,0.0
65,-0.5710349764084071,-0.35757389854749944,0.0
66,-0.5751056399212131,-0.33290749345582027,0.0
67,-0.5792472568042171,-0.3082531046607069,0.0
68,-0.5832856861246483,-0.28358135899277626,0.0
69,-0.5872825352442645,-0.2589029376045313,0.0
70,-0.591015407309166,-0.2341831267503376,0.0
71,-0.5946111410053248,-0.20944309800033478,0.0
72,-0.5977649420166755,-0.18464279703263697,0.0
73,-0.6006675452093417,-0.15981197848635942,0.0
74,-0.6030376166557914,-0.1349245116848432,0.0
75,-0.6051715583379802,-0.11001568257832117,0.0
76,-0.6066728324692376,-0.0850608863690634,0.0
77,-0.6080241889957221,-0.06009750709083006,0.0
78,-0.6088634224066651,-0.03511143036352804,0.0
79,-0.6096208305600412,-0.010123064817832539,0.0
80,-0.6100581856080622,0.014873120857374023,0.0
81,-0.6104490013487491,0.03987006947204508,0.0
82,-0.6105691643144069,0.06486987910970798,0.0
83,-0.610666629830996,0.08986968874737089,0.0
84,-0.6105079384223813,0.11486911691530155,0.0
85,-0.6103431434980506,0.1398685450832322,0.0
86,-0.609791919734954,0.1648626326749114,0.0
87,-0.6092765541266885,0.189857292471189,0.0
88,-0.6083926887570725,0.2148416525846959,0.0
89,-0.6076427192634752,0.23983039960012364,0.0
90,-0.6067590446287254,0.26481475971363055,0.0
91,-0.6062148780556753,0.28980884730530976,0.0
92,-0.6061813087192376,0.3148088476778388,0.0
93,-0.6067947120486905,0.3398012186557229,0.0
94,-0.6081855506924625,0.36476249985042886,0.0
95,-0.6106950493260483,0.3896362337415842,0.0
96,-0.6154561730542212,0.4141786611702831,0.0
97,-0.6216338846330927,0.43840351504688657,0.0
98,-0.6308158610882741,0.46165619331085894,0.0
99,-0.6418407178199401,0.48409386149188594,0.0
100,-0.6541682936872291,0.5058431675410735,0.0
101,-0.667444775513482,0.5270265632424729,0.0
102,-0.6809915286450319,0.548038106829495,0.0
103,-0.6953101857797832,0.5685314237852599,0.0
104,-0.7098172889622645,0.5888917985393367,0.0
105,-0.7244737375449204,0.609144789563786,0.0
106,-0.7396915188385775,0.6289796897616928,0.0
107,-0.7550740950565653,0.6486867975992969,0.0
108,-0.7707042451307813,0.6681984021991245,0.0
109,-0.7867011783525526,0.6874103623242722,0.0
110,-0.8028649092147488,0.7064821323228192,0.0
111,-0.8192734482776145,0.7253437124988982,0.0
112,-0.8360451465255792,0.7438831414860947,0.0
113,-0.8528192289593703,0.7624204723897638,0.0
114,-0.8700693856190056,0.7805154891388928,0.0
115,-0.8877234233576572,0.798216829124343,0.0
116,-0.9054976240619665,0.8157976246744032,0.0
117,-0.9238161820741921,0.8328100303234156,0.0
118,-0.9426529667176751,0.8492471796161998,0.0
119,-0.9617150092380498,0.8654222592029304,0.0
120,-0.9814081934304268,0.8808229552331999,0.0
121,-1.0016987592235025,0.8954275239322702,0.0
122,-1.0222675118188191,0.9096376529281973,0.0
123,-1.0437648571098577,0.9223993413507832,0.0
124,-1.065645198012072,0.9344926948024725,0.0
125,-1.0878307147000839,0.9460168954136496,0.0
126,-1.110290126655849,0.956997501656375,0.0
127,-1.1332137872757584,0.9669725536848977,0.0
128,-1.1564207845392942,0.9762697339992177,0.0
129,-1.1798294839237555,0.985046589598753,0.0
130,-1.2034141362222157,0.9933389786383349,0.0
131,-1.2271371666660484,1.0012266282920028,0.0
132,-1.250418073690207,1.0103372699072541,0.0
133,-1.273877031711892,1.018979085221574,0.0
134,-1.2974853351337514,1.027203572648816,0.0
135,-1.3212089377821825,1.035089696423555,0.0
136,-1.3450252375755496,1.0426912437780378,0.0
137,-1.3688752020727875,1.050186742546956,0.0
138,-1.3927344172110323,1.057652486676759,0.0
139,-1.415591892832397,1.067778219249519,0.0
140,-1.4380164003076614,1.0788301603321746,0.0
141,-1.4612587788888631,1.0880384581988811,0.0
142,-1.4859512192897681,1.091948141484679,0.0
143,-1.5021866664616268,1.1109586855912004,0.0
144,-1.5201674330259478,1.1283281469095958,0.0
145,-1.5388897767497567,1.1448953773810762,0.0
146,-1.5534678333024359,1.165204825925898,0.0
147,-1.566409384703776,1.186594596752443,0.0
