episode,status,reason,steps,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
119,off_path,cte_1.25,237,2.8820163938479246,1.2501158954279101,0.11999999731779099,0.636967545822833,55,0.30481876975254646
120,collision,stuck_blocked,430,1.0282975138661572,0.22541021034274283,0.11999999731779099,0.9610019289765902,133,0.7364280717512185
121,collision,stuck_blocked,537,0.8163316368573625,0.7521926424776427,0.11999999731779099,0.4342307434650955,147,0.8138963758832394
122,collision,stuck_blocked,227,1.8264565609394856,0.4388351375170014,0.11999999731779099,1.0209418244096005,89,0.4929561732496746
123,off_path,cte_1.25,226,2.320565763916791,1.25218803620545,0.12682393193244934,0.9852484157031609,66,0.36568677681590156
124,collision,stuck_blocked,271,1.583854872614271,0.28188473443463063,0.11999999731779099,1.6155625071261122,112,0.6202255493599976
125,off_path,cte_1.26,162,4.595028814283674,1.2593182127797786,0.11999999731779099,0.5624239796654515,17,0.09454759843608003
126,off_path,cte_1.25,161,4.25816807802594,1.2500727008555352,0.13611191511154175,1.2960083225317167,23,0.12774829801226512
127,collision,stuck_blocked,128,3.7339928154847106,0.7809901123963816,0.11999999731779099,0.47183084809537035,36,0.19968318341382718
128,collision,stuck_blocked,283,1.8974420350964216,0.47135221090401586,0.11999999731779099,0.9686566968015621,85,0.47082233678114727
129,collision,stuck_blocked,139,3.7651537569224174,0.8319166503319687,0.11999999731779099,1.1387366529912868,36,0.19968318341382718
130,off_path,cte_1.26,130,4.654045180196636,1.2583996045048995,0.11999999731779099,1.118177227551528,17,0.09454759843608003
131,collision,stuck_blocked,179,2.02903314351498,0.44659916039598613,0.11999999731779099,1.8517511853142197,80,0.4431550749069581
132,off_path,cte_1.25,330,3.1713912706391283,1.2534807039407432,0.13310298323631287,0.38006461681774323,72,0.39888748184882916
133,off_path,cte_1.25,282,3.718972480875639,1.2505689547498704,0.13853900134563446,0.7295230528077706,51,0.28268499046617795
134,off_path,cte_1.28,132,4.534516223331658,1.27935222462886,0.11999999731779099,0.9055719311698837,17,0.09454759843608003
135,off_path,cte_1.25,144,4.449005840270276,1.251774965003743,0.12293940037488937,1.57227486493927,17,0.09454759843608003
136,collision,stuck_blocked,120,3.587899322654187,0.6673449285959474,0.11999999731779099,0.9348523245706697,43,0.23841735417368812
137,collision,stuck_blocked,118,3.654614267924556,0.7187926089618306,0.11999999731779099,0.9409364268209777,42,0.23288391895726931
138,collision,stuck_blocked,153,2.2421854716508087,0.4909467767312856,0.11999999731779099,2.0391556855462114,72,0.39888748184882916
139,collision,stuck_blocked,259,2.055294848595757,0.9807820812752286,0.11999999731779099,2.045369587431881,110,0.6091586465788736
140,collision,stuck_blocked,190,1.7256477786669482,0.4318992156765392,0.11999999731779099,1.3660308833299037,105,0.5814913765482868
